Aircraft Registration,Trax,Non-Routine/ Complaint/ WO Number,.pdf Document Name,Reported Date,ATA,Sub-ATA,Section,To Section,Station,Plus,mm/ Inch,To Station,Plus,mm/ Inch,Stringer,Plus,mm/ Inch,To Stringer,Plus,mm/ Inch,Water Line,To Water Line,Buttock Line,To Buttock Line,Damage Type,Component,Component,In Limits,In Limits Acc. Maint Data,Repair Performed,Repair Type,Repair Maintenance Data,Dimension:,mm/ Inch,Dimension,mm/ Inch,,mm/ Inch,Blend Repair,Blend Width,mm/ Inch,Blend Length,mm/ Inch,Blend Remaining Thickness,mm/ Inch,"Repair Status (A,B,C, N/A)",Major Repair,
,Defect Report Number,(MRO's reference number),,,,,,,,,,,,,,,,,,,,,,,,PN,SN,IN/OUT,,Y/N,,,(L) ,,(W) ,,Dimension,,Y/N,,,,,,,,Y/N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Y),,,,,,,,,,,
PH-HSA,,WO6006148-1,SDR_046_WO6006148,5/2/2023,53,0,41,,268.25,,,277,-10,mm,S-12L,,,S-13L,,,,,,,DENT,,,IN,SRM 53-00-01 AD 1,N,DENT (IN LIMITS),,75,mm,45,mm,"0,25",mm,,,,,,,,,,
PH-HSA,,WO6006147-1,SDR_047_WO6006147,5/2/2023,53,0,41,,259.5,190,mm,268.25,,,S-20L,,,S-21L,,,,,,,NICK,,,OUT,,Y,BLEND REPAIR,SRM 53-00-01 AD 1,,,,,,,Y,,,,,,,CAT-A,N,
PH-HSA,,WO6006259-1,SDR_048_WO6006259,6/2/2023,53,40,41,,,,,,,,,,,,,,,,,,CORROSION,149A7654-12,,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 AD 1 CM 166351,170,mm,5,mm,,,,,,,,,,CAT-A,N,Panel 193CR
PH-HSA,,WO6006214-1,SDR_049_WO6006214,6/2/2023,57,70,WING LH,,WS-180.00,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 AD 1,,,,,,,Y,,,,,,,CAT-A,N,
PH-HSA,,WO6007117-1,SDR_050_WO6007117,8/2/2023,57,,WING RH,,,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-41-01 AD 1,N,DENT (IN LIMITS),,45,mm,25,mm,"0,638",mm,,,,,,,,,,Fixed LE
PH-HSA,,WO5908421-1,SDR_051_WO5908421,11/20/2022,53,40,44,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,REWORK,SRM 53-40-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,ADF Nutplate
PH-HSA,,WO6006435-1,SDR_052_WO6006435,7/2/2023,55,10,HOR STAB R,,,,,,,,,,,,,,,,,,L-STRIKE,,,OUT,,Y,REWORK,SRM 55-10-30 AD 1,,,,,,,,,,,,,,CAT-A,N,Stab tip
PH-HSA,,WO6007440-1,SDR_053_WO6007440,10/2/2023,53,10,43,,440,,,,,,S-23R,,,S-24R,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 53-00-01 AD 1,,,,,,,Y,,mm,153,mm,,mm,CAT-A,N,
